"Ensembl_ID","control_rep2","exp_rep3","exp_rep2","exp_rep1","control_rep1","control_rep3"
"ENSG00000142794.19",494,566,660,607,573,744
"ENSG00000162551.14",876,1061,443,444,1114,1362
"ENSG00000076864.21",1082,1409,1220,988,1337,1639
"ENSG00000090686.16",4344,4558,5441,5382,5180,5912
"ENSG00000187942.12",17,17,23,20,23,27
"ENSG00000142798.20",99577,130399,124719,138697,103028,132743
"ENSG00000219073.8",24,22,18,19,29,37
"ENSG00000285959.1",2,3,2,0,0,5
"ENSG00000142789.20",38,29,22,30,37,29
"ENSG00000228397.3",2,7,3,2,3,4
"ENSG00000218510.9",68,85,87,86,70,77
"ENSG00000285752.1",9,18,18,7,21,22
"ENSG00000070831.18",219,256,310,313,257,322
"ENSG00000162552.15",250,339,234,225,291,391
"ENSG00000285873.1",11,7,6,7,11,16
"ENSG00000184677.18",2996,2999,3980,3831,3555,4104
"ENSG00000237200.1",5,3,4,2,3,4
"ENSG00000070886.12",75,85,55,49,59,101
"ENSG00000133216.17",10256,12186,10365,10198,11316,14381
"ENSG00000004487.18",30651,35540,35409,34867,34588,42299
"ENSG00000240553.1",0,3,3,0,1,5
"ENSG00000169641.15",8555,8834,9999,10555,10088,11840
"ENSG00000179546.5",176,198,161,190,153,157
"ENSG00000261326.5",70,83,111,101,87,87
"ENSG00000284726.1",8,16,9,8,12,22
"ENSG00000125944.22",18974,21387,23821,23542,23458,27366
"ENSG00000125945.16",1456,1657,1775,1887,1723,2059
"ENSG00000249087.9",102,143,191,126,135,199
"ENSG00000271420.1",2,4,5,0,0,5
"ENSG00000204219.11",569,806,632,654,735,793
"ENSG00000088280.21",6192,6966,5825,6128,6597,8348
"ENSG00000007968.7",865,1076,738,678,1097,1224
"ENSG00000235052.1",7,6,8,7,11,7
"ENSG00000117318.9",5948,8890,5939,5217,6446,8508
"ENSG00000142676.14",63886,81997,76689,73964,78942,94033
"ENSG00000236810.8",48,39,62,46,62,84
"ENSG00000011007.13",4478,5258,5362,5548,5007,6326
"ENSG00000057757.10",2661,3302,3460,3286,3161,3791
"ENSG00000289835.1",2,0,7,1,1,3
"ENSG00000011009.11",11453,16416,13390,13383,11975,15154
"ENSG00000117308.15",2614,3687,3529,3318,2844,3809
"ENSG00000117305.15",1863,2437,2692,2472,2252,2737
"ENSG00000179163.12",2082,2363,2812,2863,2431,2881
"ENSG00000188822.8",1,0,3,0,2,2
"ENSG00000229106.1",2,2,1,2,5,4
"ENSG00000230228.2",4,4,3,2,1,1
"ENSG00000189266.13",12533,13935,16190,16769,14664,17366
"ENSG00000188529.15",9547,10610,11078,12345,11606,13620
"ENSG00000225315.2",2,1,6,8,6,2
"ENSG00000142661.19",19,15,16,14,7,13
"ENSG00000142677.4",45,30,41,35,45,43
"ENSG00000185436.12",1527,1720,2062,1922,1756,1998
"ENSG00000158055.17",361,388,379,339,472,543
"ENSG00000232298.2",2,0,1,2,0,3
"ENSG00000001460.18",940,1057,1131,1031,1005,1244
"ENSG00000001461.17",1679,1870,2547,2186,2024,2380
"ENSG00000286061.1",9,19,14,18,20,24
"ENSG00000117602.13",5972,5264,5741,5900,6167,7034
"ENSG00000264443.1",8,2,6,1,4,1
"ENSG00000184454.7",145,151,188,148,160,185
"ENSG00000133226.19",9652,10328,11362,10763,12075,13339
"ENSG00000169504.15",20828,23773,25255,29122,25183,29182
"ENSG00000020633.19",7,1,1,4,12,2
"ENSG00000117614.10",2874,3315,3720,3755,3369,3966
"ENSG00000284602.1",9,12,21,12,10,15
"ENSG00000284657.1",4,5,4,4,4,4
"ENSG00000117616.18",396,449,644,533,517,605
"ENSG00000272432.1",8,10,7,3,8,6
"ENSG00000261349.1",7,3,2,4,13,9
"ENSG00000187010.21",5,5,7,9,6,5
"ENSG00000224183.1",4,7,8,3,5,6
"ENSG00000183726.11",8029,9994,10468,10938,9214,10954
"ENSG00000188672.19",9,11,9,10,8,22
"ENSG00000238084.4",6,11,8,8,6,8
"ENSG00000204178.11",3850,4492,4396,4925,4033,5148
"ENSG00000157978.12",1532,1836,1879,1686,1741,2237
"ENSG00000225643.1",8,2,2,4,6,5
"ENSG00000117643.16",546,647,748,628,634,779
"ENSG00000233478.1",1,1,7,1,4,3
"ENSG00000162430.18",18440,23308,21011,20349,20844,26199
"ENSG00000228172.5",19,25,17,30,18,34
"ENSG00000117640.18",2476,3074,2856,2951,2788,3440
"ENSG00000127423.11",659,759,749,802,799,973
